A,B,C,trial,beta_idx,beta,true_ratio,est_ratio,geom_error_ratio
200,10,50,0,143,0.7185929648241206,0.9994367313367193,,0.012839734207539134
200,10,50,0,144,0.7236180904522613,0.999452077193211,,0.012855088594863314
200,10,50,0,145,0.7286432160804021,0.9994669986526787,,0.012870018123174821
200,10,50,0,146,0.7336683417085427,0.9994815077580892,,0.012884534860714097
200,10,50,0,147,0.7386934673366834,0.9994956161962373,,0.012898650518146345
200,10,50,0,148,0.7437185929648241,0.9995093353089497,,0.012912376459847793
200,10,50,0,149,0.7487437185929648,0.9995226761039202,,0.012925723714813736
200,10,50,0,150,0.7537688442211056,0.9995356492651581,,0.012938702987177614
200,10,50,0,151,0.7587939698492463,0.9995482651630943,,0.01295132466638266
200,10,50,0,152,0.7638190954773869,0.9995605338643231,,0.012963598836988374
200,10,50,0,153,0.7688442211055276,0.9995724651410188,,0.01297553528814177
200,10,50,0,154,0.7738693467336684,0.9995840684800615,,0.01298714352276242
200,10,50,0,155,0.7788944723618091,0.9995953530918091,,0.012998432766365023
200,10,50,0,156,0.7839195979899498,0.9996063279186156,,0.013009411975626873
200,10,50,0,157,0.7889447236180904,0.9996170016430649,,0.013020089846669997
200,10,50,0,158,0.7939698492462312,0.9996273826958929,,0.0130304748230235
200,10,50,0,159,0.7989949748743719,0.9996374792637107,,0.013040575103391553
200,10,50,0,160,0.8040201005025126,0.9996472992964148,,0.013050398649100995
200,10,50,0,161,0.8090452261306533,0.9996568505144097,,0.013059953191360591
200,10,50,0,162,0.8140703517587939,0.9996661404155318,,0.013069246238221647
200,10,50,0,163,0.8190954773869347,0.9996751762818218,,0.013078285081379214
200,10,50,0,164,0.8241206030150754,0.999683965186022,,0.01308707680270428
200,10,50,0,165,0.8291457286432161,0.9996925139978818,,0.013095628280576416
200,10,50,0,166,0.8341708542713568,0.9997008293902722,,0.013103946196025654
200,10,50,0,167,0.8391959798994975,0.9997089178450945,,0.013112037038669517
200,10,50,0,168,0.8442211055276382,0.9997167856589771,,0.013119907112430072
200,10,50,0,169,0.8492462311557789,0.9997244389488539,,0.013127562541139429
200,10,50,0,170,0.8542713567839196,0.9997318836572883,,0.01313500927388398
200,10,50,0,171,0.8592964824120604,0.999739125557682,,0.013142253090233418
200,10,50,0,172,0.864321608040201,0.9997461702592967,,0.013149299605283892
200,10,50,0,173,0.8693467336683417,0.9997530232121435,,0.013156154274562341
200,10,50,0,174,0.8743718592964824,0.999759689711648,,0.013162822398712151
200,10,50,0,175,0.8793969849246231,0.9997661749032863,,0.013169309128144525
200,10,50,0,176,0.8844221105527639,0.9997724837869416,,0.013175619467409572
200,10,50,0,177,0.8894472361809045,0.9997786212212418,,0.013181758279551165
200,10,50,0,178,0.8944723618090452,0.9997845919276809,,0.013187730290238094
200,10,50,0,179,0.8994974874371859,0.9997904004946597,,0.013193540091821807
200,10,50,0,180,0.9045226130653267,0.9997960513813732,,0.013199192147233727
200,10,50,0,181,0.9095477386934674,0.9998015489215919,,0.013204690793778982
200,10,50,0,182,0.914572864321608,0.9998068973273266,,0.01321004024681327
200,10,50,0,183,0.9195979899497487,0.9998121006923696,,0.013215244603291295
200,10,50,0,184,0.9246231155778895,0.9998171629957378,,0.01322030784522329
200,10,50,0,185,0.9296482412060302,0.9998220881050032,,0.013225233843012859
200,10,50,0,186,0.9346733668341709,0.9998268797795359,,0.013230026358708704
200,10,50,0,187,0.9396984924623115,0.9998315416736161,,0.013234689049126773
200,10,50,0,188,0.9447236180904522,0.9998360773394871,,0.01323922546890762
200,10,50,0,189,0.949748743718593,0.9998404902302988,,0.013243639073470708
